"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1685","User login with wrong email or password","LMS system","Wed Mar 04 12:24:13 UTC 2026","passed","Wed Mar 04 12:24:14 UTC 2026","Authorization","Authentication","",""
"","3291","User login with correct email and password","LMS system","Wed Mar 04 12:24:13 UTC 2026","passed","Wed Mar 04 12:24:16 UTC 2026","Authorization","Authentication","",""
"","2839","Edit course","Courses","Wed Mar 04 12:24:21 UTC 2026","passed","Wed Mar 04 12:24:24 UTC 2026","Courses","LMS system","",""
"","1900","User login with wrong email or password","LMS system","Wed Mar 04 12:24:11 UTC 2026","passed","Wed Mar 04 12:24:12 UTC 2026","Authorization","Authentication","",""
"","1983","Check displaying of dashboard page","Dashboard","Wed Mar 04 12:24:23 UTC 2026","passed","Wed Mar 04 12:24:25 UTC 2026","Dashboard","LMS system","",""
"","2212","Registration with correct email, username and password","Authentication","Wed Mar 04 12:24:15 UTC 2026","passed","Wed Mar 04 12:24:17 UTC 2026","Registration","LMS system","",""
"","2831","Create course","Courses","Wed Mar 04 12:24:20 UTC 2026","passed","Wed Mar 04 12:24:22 UTC 2026","Courses","LMS system","",""
"","1367","Navigation from login page to registration page","LMS system","Wed Mar 04 12:24:17 UTC 2026","passed","Wed Mar 04 12:24:18 UTC 2026","Authorization","Authentication","",""
"","1668","Check displaying of empty courses list","Courses","Wed Mar 04 12:24:19 UTC 2026","passed","Wed Mar 04 12:24:21 UTC 2026","Courses","LMS system","",""
"","1841","User login with wrong email or password","LMS system","Wed Mar 04 12:24:11 UTC 2026","passed","Wed Mar 04 12:24:12 UTC 2026","Authorization","Authentication","",""
