"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1995","Registration with correct email, username and password","Authentication","Wed Mar 04 12:48:53 UTC 2026","passed","Wed Mar 04 12:48:55 UTC 2026","Registration","LMS system","",""
"","1881","User login with wrong email or password","LMS system","Wed Mar 04 12:48:49 UTC 2026","passed","Wed Mar 04 12:48:51 UTC 2026","Authorization","Authentication","",""
"","3430","Edit course","Courses","Wed Mar 04 12:48:59 UTC 2026","passed","Wed Mar 04 12:49:03 UTC 2026","Courses","LMS system","",""
"","2245","Check displaying of dashboard page","Dashboard","Wed Mar 04 12:49:01 UTC 2026","passed","Wed Mar 04 12:49:03 UTC 2026","Dashboard","LMS system","",""
"","2547","Create course","Courses","Wed Mar 04 12:48:58 UTC 2026","passed","Wed Mar 04 12:49:00 UTC 2026","Courses","LMS system","",""
"","1797","User login with wrong email or password","LMS system","Wed Mar 04 12:48:51 UTC 2026","passed","Wed Mar 04 12:48:53 UTC 2026","Authorization","Authentication","",""
"","3038","User login with correct email and password","LMS system","Wed Mar 04 12:48:51 UTC 2026","passed","Wed Mar 04 12:48:54 UTC 2026","Authorization","Authentication","",""
"","1616","Navigation from login page to registration page","LMS system","Wed Mar 04 12:48:55 UTC 2026","passed","Wed Mar 04 12:48:56 UTC 2026","Authorization","Authentication","",""
"","1870","User login with wrong email or password","LMS system","Wed Mar 04 12:48:49 UTC 2026","passed","Wed Mar 04 12:48:51 UTC 2026","Authorization","Authentication","",""
"","1635","Check displaying of empty courses list","Courses","Wed Mar 04 12:48:57 UTC 2026","passed","Wed Mar 04 12:48:59 UTC 2026","Courses","LMS system","",""
