"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1659","Navigation from login page to registration page","LMS system","Wed Mar 04 17:24:59 UTC 2026","passed","Wed Mar 04 17:25:00 UTC 2026","Authorization","Authentication","",""
"","1960","User login with wrong email or password","LMS system","Wed Mar 04 17:24:54 UTC 2026","passed","Wed Mar 04 17:24:56 UTC 2026","Authorization","Authentication","",""
"","3065","User login with correct email and password","LMS system","Wed Mar 04 17:24:57 UTC 2026","passed","Wed Mar 04 17:25:00 UTC 2026","Authorization","Authentication","",""
"","2392","Create course","Courses","Wed Mar 04 17:25:03 UTC 2026","passed","Wed Mar 04 17:25:06 UTC 2026","Courses","LMS system","",""
"","1707","Registration with correct email, username and password","Authentication","Wed Mar 04 17:25:00 UTC 2026","passed","Wed Mar 04 17:25:02 UTC 2026","Registration","LMS system","",""
"","1806","Check displaying of dashboard page","Dashboard","Wed Mar 04 17:25:06 UTC 2026","passed","Wed Mar 04 17:25:08 UTC 2026","Dashboard","LMS system","",""
"","1952","User login with wrong email or password","LMS system","Wed Mar 04 17:24:54 UTC 2026","passed","Wed Mar 04 17:24:56 UTC 2026","Authorization","Authentication","",""
"","1692","User login with wrong email or password","LMS system","Wed Mar 04 17:24:57 UTC 2026","passed","Wed Mar 04 17:24:58 UTC 2026","Authorization","Authentication","",""
"","1514","Check displaying of empty courses list","Courses","Wed Mar 04 17:25:02 UTC 2026","passed","Wed Mar 04 17:25:04 UTC 2026","Courses","LMS system","",""
"","2883","Edit course","Courses","Wed Mar 04 17:25:04 UTC 2026","passed","Wed Mar 04 17:25:07 UTC 2026","Courses","LMS system","",""
