"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3375","Edit course","Courses","Tue Mar 10 16:30:14 UTC 2026","passed","Tue Mar 10 16:30:17 UTC 2026","Courses","LMS system","",""
"","1797","Registration with correct email, username and password","Authentication","Tue Mar 10 16:30:10 UTC 2026","passed","Tue Mar 10 16:30:11 UTC 2026","Registration","LMS system","",""
"","2181","User login with wrong email or password","LMS system","Tue Mar 10 16:30:03 UTC 2026","passed","Tue Mar 10 16:30:06 UTC 2026","Authorization","Authentication","",""
"","2654","Create course","Courses","Tue Mar 10 16:30:13 UTC 2026","passed","Tue Mar 10 16:30:16 UTC 2026","Courses","LMS system","",""
"","2052","Check displaying of dashboard page","Dashboard","Tue Mar 10 16:30:17 UTC 2026","passed","Tue Mar 10 16:30:19 UTC 2026","Dashboard","LMS system","",""
"","1623","Check displaying of empty courses list","Courses","Tue Mar 10 16:30:12 UTC 2026","passed","Tue Mar 10 16:30:14 UTC 2026","Courses","LMS system","",""
"","3175","User login with correct email and password","LMS system","Tue Mar 10 16:30:06 UTC 2026","passed","Tue Mar 10 16:30:09 UTC 2026","Authorization","Authentication","",""
"","1639","User login with wrong email or password","LMS system","Tue Mar 10 16:30:06 UTC 2026","passed","Tue Mar 10 16:30:08 UTC 2026","Authorization","Authentication","",""
"","1813","Navigation from login page to registration page","LMS system","Tue Mar 10 16:30:08 UTC 2026","passed","Tue Mar 10 16:30:10 UTC 2026","Authorization","Authentication","",""
"","2171","User login with wrong email or password","LMS system","Tue Mar 10 16:30:03 UTC 2026","passed","Tue Mar 10 16:30:06 UTC 2026","Authorization","Authentication","",""
