"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3573","Edit course","Courses","Tue Mar 10 16:36:23 UTC 2026","passed","Tue Mar 10 16:36:27 UTC 2026","Courses","LMS system","",""
"","2131","Check displaying of dashboard page","Dashboard","Tue Mar 10 16:36:26 UTC 2026","passed","Tue Mar 10 16:36:28 UTC 2026","Dashboard","LMS system","",""
"","1858","Navigation from login page to registration page","LMS system","Tue Mar 10 16:36:17 UTC 2026","passed","Tue Mar 10 16:36:18 UTC 2026","Authorization","Authentication","",""
"","1933","Check displaying of empty courses list","Courses","Tue Mar 10 16:36:21 UTC 2026","passed","Tue Mar 10 16:36:23 UTC 2026","Courses","LMS system","",""
"","2004","User login with wrong email or password","LMS system","Tue Mar 10 16:36:12 UTC 2026","passed","Tue Mar 10 16:36:14 UTC 2026","Authorization","Authentication","",""
"","1957","Registration with correct email, username and password","Authentication","Tue Mar 10 16:36:18 UTC 2026","passed","Tue Mar 10 16:36:20 UTC 2026","Registration","LMS system","",""
"","2060","User login with wrong email or password","LMS system","Tue Mar 10 16:36:12 UTC 2026","passed","Tue Mar 10 16:36:14 UTC 2026","Authorization","Authentication","",""
"","2815","Create course","Courses","Tue Mar 10 16:36:22 UTC 2026","passed","Tue Mar 10 16:36:25 UTC 2026","Courses","LMS system","",""
"","3226","User login with correct email and password","LMS system","Tue Mar 10 16:36:14 UTC 2026","passed","Tue Mar 10 16:36:18 UTC 2026","Authorization","Authentication","",""
"","1849","User login with wrong email or password","LMS system","Tue Mar 10 16:36:14 UTC 2026","passed","Tue Mar 10 16:36:16 UTC 2026","Authorization","Authentication","",""
