"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2034","Registration with correct email, username and password","Authentication","Tue Mar 10 16:28:48 UTC 2026","passed","Tue Mar 10 16:28:50 UTC 2026","Registration","LMS system","",""
"","1626","Navigation from login page to registration page","LMS system","Tue Mar 10 16:28:49 UTC 2026","passed","Tue Mar 10 16:28:51 UTC 2026","Authorization","Authentication","",""
"","2084","User login with wrong email or password","LMS system","Tue Mar 10 16:28:43 UTC 2026","passed","Tue Mar 10 16:28:45 UTC 2026","Authorization","Authentication","",""
"","1884","Check displaying of dashboard page","Dashboard","Tue Mar 10 16:28:56 UTC 2026","passed","Tue Mar 10 16:28:58 UTC 2026","Dashboard","LMS system","",""
"","1644","Check displaying of empty courses list","Courses","Tue Mar 10 16:28:52 UTC 2026","passed","Tue Mar 10 16:28:53 UTC 2026","Courses","LMS system","",""
"","1726","User login with wrong email or password","LMS system","Tue Mar 10 16:28:46 UTC 2026","passed","Tue Mar 10 16:28:47 UTC 2026","Authorization","Authentication","",""
"","2095","User login with wrong email or password","LMS system","Tue Mar 10 16:28:43 UTC 2026","passed","Tue Mar 10 16:28:45 UTC 2026","Authorization","Authentication","",""
"","3315","User login with correct email and password","LMS system","Tue Mar 10 16:28:46 UTC 2026","passed","Tue Mar 10 16:28:49 UTC 2026","Authorization","Authentication","",""
"","2493","Create course","Courses","Tue Mar 10 16:28:53 UTC 2026","passed","Tue Mar 10 16:28:55 UTC 2026","Courses","LMS system","",""
"","3114","Edit course","Courses","Tue Mar 10 16:28:53 UTC 2026","passed","Tue Mar 10 16:28:57 UTC 2026","Courses","LMS system","",""
