"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1888","User login with wrong email or password","LMS system","Tue Mar 10 16:44:02 UTC 2026","passed","Tue Mar 10 16:44:04 UTC 2026","Authorization","Authentication","",""
"","1681","User login with wrong email or password","LMS system","Tue Mar 10 16:44:02 UTC 2026","passed","Tue Mar 10 16:44:04 UTC 2026","Authorization","Authentication","",""
"","1522","Navigation from login page to registration page","LMS system","Tue Mar 10 16:44:08 UTC 2026","passed","Tue Mar 10 16:44:09 UTC 2026","Authorization","Authentication","",""
"","1976","Registration with correct email, username and password","Authentication","Tue Mar 10 16:44:06 UTC 2026","passed","Tue Mar 10 16:44:08 UTC 2026","Registration","LMS system","",""
"","1589","Check displaying of empty courses list","Courses","Tue Mar 10 16:44:10 UTC 2026","passed","Tue Mar 10 16:44:12 UTC 2026","Courses","LMS system","",""
"","2944","Edit course","Courses","Tue Mar 10 16:44:12 UTC 2026","passed","Tue Mar 10 16:44:15 UTC 2026","Courses","LMS system","",""
"","1981","Check displaying of dashboard page","Dashboard","Tue Mar 10 16:44:13 UTC 2026","passed","Tue Mar 10 16:44:15 UTC 2026","Dashboard","LMS system","",""
"","1696","User login with wrong email or password","LMS system","Tue Mar 10 16:44:04 UTC 2026","passed","Tue Mar 10 16:44:06 UTC 2026","Authorization","Authentication","",""
"","2337","Create course","Courses","Tue Mar 10 16:44:11 UTC 2026","passed","Tue Mar 10 16:44:13 UTC 2026","Courses","LMS system","",""
"","2963","User login with correct email and password","LMS system","Tue Mar 10 16:44:04 UTC 2026","passed","Tue Mar 10 16:44:07 UTC 2026","Authorization","Authentication","",""
