"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1615","Navigation from login page to registration page","LMS system","Tue Mar 10 16:06:47 UTC 2026","passed","Tue Mar 10 16:06:48 UTC 2026","Authorization","Authentication","",""
"","1977","User login with wrong email or password","LMS system","Tue Mar 10 16:06:42 UTC 2026","passed","Tue Mar 10 16:06:44 UTC 2026","Authorization","Authentication","",""
"","1721","User login with wrong email or password","LMS system","Tue Mar 10 16:06:45 UTC 2026","passed","Tue Mar 10 16:06:46 UTC 2026","Authorization","Authentication","",""
"","1813","Registration with correct email, username and password","Authentication","Tue Mar 10 16:06:48 UTC 2026","passed","Tue Mar 10 16:06:50 UTC 2026","Registration","LMS system","",""
"","1593","Check displaying of empty courses list","Courses","Tue Mar 10 16:06:50 UTC 2026","passed","Tue Mar 10 16:06:52 UTC 2026","Courses","LMS system","",""
"","1825","Check displaying of dashboard page","Dashboard","Tue Mar 10 16:06:55 UTC 2026","passed","Tue Mar 10 16:06:57 UTC 2026","Dashboard","LMS system","",""
"","2779","Create course","Courses","Tue Mar 10 16:06:51 UTC 2026","passed","Tue Mar 10 16:06:54 UTC 2026","Courses","LMS system","",""
"","1903","User login with wrong email or password","LMS system","Tue Mar 10 16:06:42 UTC 2026","passed","Tue Mar 10 16:06:44 UTC 2026","Authorization","Authentication","",""
"","3102","User login with correct email and password","LMS system","Tue Mar 10 16:06:45 UTC 2026","passed","Tue Mar 10 16:06:48 UTC 2026","Authorization","Authentication","",""
"","3043","Edit course","Courses","Tue Mar 10 16:06:52 UTC 2026","passed","Tue Mar 10 16:06:55 UTC 2026","Courses","LMS system","",""
