"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Create course","Courses","Wed Mar 04 11:44:29 UTC 2026","broken","Wed Mar 04 11:44:29 UTC 2026","Courses","LMS system","",""
"","0","Edit course","Courses","Wed Mar 04 11:44:29 UTC 2026","broken","Wed Mar 04 11:44:29 UTC 2026","Courses","LMS system","",""
"","0","Check displaying of empty courses list","Courses","Wed Mar 04 11:44:29 UTC 2026","broken","Wed Mar 04 11:44:29 UTC 2026","Courses","LMS system","",""
"","0","Check displaying of dashboard page","Dashboard","Wed Mar 04 11:44:29 UTC 2026","broken","Wed Mar 04 11:44:29 UTC 2026","Dashboard","LMS system","",""
"","0","Registration with correct email, username and password","Authentication","Wed Mar 04 11:44:29 UTC 2026","broken","Wed Mar 04 11:44:29 UTC 2026","Registration","LMS system","",""
"","0","User login with wrong email or password","LMS system","Wed Mar 04 11:44:28 UTC 2026","broken","Wed Mar 04 11:44:28 UTC 2026","Authorization","Authentication","",""
"","0","User login with correct email and password","LMS system","Wed Mar 04 11:44:28 UTC 2026","broken","Wed Mar 04 11:44:28 UTC 2026","Authorization","Authentication","",""
"","0","User login with wrong email or password","LMS system","Wed Mar 04 11:44:28 UTC 2026","broken","Wed Mar 04 11:44:28 UTC 2026","Authorization","Authentication","",""
"","0","User login with wrong email or password","LMS system","Wed Mar 04 11:44:28 UTC 2026","broken","Wed Mar 04 11:44:28 UTC 2026","Authorization","Authentication","",""
"","0","Navigation from login page to registration page","LMS system","Wed Mar 04 11:44:29 UTC 2026","broken","Wed Mar 04 11:44:29 UTC 2026","Authorization","Authentication","",""
