2026-03-10 16:30:08,633 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-03-10 16:30:10,148 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-registration-link" at index "0"
2026-03-10 16:30:10,148 | BASE_ELEMENT | INFO | Clicking link "Registration"
2026-03-10 16:30:10,257 | BASE_PAGE | INFO | Checking that current url matches pattern ".*/#/auth/registration"
2026-03-10 16:30:10,283 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-03-10 16:30:10,285 | BASE_ELEMENT | INFO | Checking that input "Email" is visible
2026-03-10 16:30:10,413 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-03-10 16:30:10,413 | INPUT | INFO | Checking that input "Email" has a value ""
2026-03-10 16:30:10,420 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-03-10 16:30:10,420 | BASE_ELEMENT | INFO | Checking that input "Username" is visible
2026-03-10 16:30:10,427 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-03-10 16:30:10,427 | INPUT | INFO | Checking that input "Username" has a value ""
2026-03-10 16:30:10,434 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-03-10 16:30:10,434 | BASE_ELEMENT | INFO | Checking that input "Password" is visible
2026-03-10 16:30:10,439 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-03-10 16:30:10,439 | INPUT | INFO | Checking that input "Password" has a value ""
